Airport ID,City,PageRank
11292,"Denver, CO",107.93441952580075
13930,"Chicago, IL",105.22363781350113
10397,"Atlanta, GA",80.72187955072135
10299,"Anchorage, AK",79.10497133729767
11298,"Dallas/Fort Worth, TX",75.40032335628638
11630,"Fairbanks, AK",65.89933288543767
12892,"Los Angeles, CA",65.48550934878374
10551,"Bethel, AK",62.863467955498386
14107,"Phoenix, AZ",61.47950209173908
12889,"Las Vegas, NV",60.76994307282636
13204,"Orlando, FL",59.381230063288875
12266,"Houston, TX",56.903402368120894
11057,"Charlotte, NC",54.461611882728384
13487,"Minneapolis, MN",53.66159811057414
14747,"Seattle, WA",52.23713275527722
11433,"Detroit, MI",51.44562018862038
11618,"Newark, NJ",50.94293801063487
14100,"Philadelphia, PA",48.69045398792637
14869,"Salt Lake City, UT",41.12827474627112
13303,"Miami, FL",40.97753245647421
10693,"Nashville, TN",40.818146273450786
14730,"Louisville, KY",40.258753411432515
13244,"Memphis, TN",39.048897150191415
12478,"New York, NY",38.471071507994026
11697,"Fort Lauderdale, FL",37.67838316113969
12264,"Washington, DC",37.39997912410748
14771,"San Francisco, CA",36.61750504021247
10056,"Kodiak Island, AK",36.53732334992046
15304,"Tampa, FL",35.44632261894132
10721,"Boston, MA",33.887185899562766
15741,"Ketchikan, AK",31.640770550099283
10821,"Baltimore, MD",31.409002048793212
11193,"Cincinnati, OH",31.40720503551883
12523,"Juneau, AK",31.290484434217582
10423,"Austin, TX",30.857344651404567
14057,"Portland, OR",28.167344061434406
12339,"Indianapolis, IN",28.00262416675144
13232,"Chicago, IL",27.036991033077822
14679,"San Diego, CA",26.852910593880292
11278,"Washington, DC",26.761564598917904
15016,"St. Louis, MO",26.214899824951964
12953,"New York, NY",23.40058211386572
10245,"King Salmon, AK",23.344780412585155
13873,"Nome, AK",23.193618007902455
11336,"Dillingham, AK",22.003258510027297
11259,"Dallas, TX",21.249786005387197
13796,"Oakland, CA",21.09306160156307
14122,"Pittsburgh, PA",20.66552494894077
14492,"Raleigh/Durham, NC",20.50822366976606
13970,"Kotzebue, AK",20.05389571570235
13891,"Ontario, CA",19.82638292129881
11042,"Cleveland, OH",19.29839360206301
12191,"Houston, TX",19.14109468892828
13198,"Kansas City, MO",18.677153542521523
13495,"New Orleans, LA",18.46591956796272
14683,"San Antonio, TX",18.310755531929455
14635,"Fort Myers, FL",17.599164040794296
10170,"Kodiak, AK",17.02965672811101
15167,"Teterboro, NJ",16.647247218607262
12173,"Honolulu, HI",16.412856701994325
11066,"Columbus, OH",16.27452698924782
13342,"Milwaukee, WI",16.10106689393541
15618,"Van Nuys, CA",16.06295166211994
12197,"White Plains, NY",16.062194404377173
10994,"Charleston, SC",15.919154701606129
13577,"Myrtle Beach, SC",15.882399621367117
14831,"San Jose, CA",15.52163261734777
14893,"Sacramento, CA",15.411241850225357
14908,"Santa Ana, CA",14.820576592065226
12451,"Jacksonville, FL",14.678340001223786
10529,"Hartford, CT",14.253882037130078
14843,"San Juan, PR",14.137163994817007
10304,"Aniak, AK",13.666325034816413
14570,"Reno, NV",13.416388799760725
14761,"Sanford, FL",13.41200849242284
13851,"Oklahoma City, OK",13.08356521358724
14524,"Richmond, VA",12.599716285904243
10140,"Albuquerque, NM",12.494629477488667
14027,"West Palm Beach/Palm Beach, FL",12.279833987389974
10754,"Barrow, AK",12.27404800765235
12321,"Iliamna, AK",12.110874456169086
13871,"Omaha, NE",12.053169099581146
10154,"Nantucket, MA",12.03548791497202
11540,"El Paso, TX",11.974046704600207
15478,"Unalakleet, AK",11.938485478636649
12184,"Homer, AK",11.885682763371149
10849,"Bozeman, MT",11.848891468380083
10713,"Boise, ID",11.40209103689791
13931,"Norfolk, VA",11.206993207620679
12652,"Kenmore, WA",11.018016392556833
10792,"Buffalo, NY",10.971658996626221
11445,"Unalaska, AK",10.798961578300606
14986,"Sarasota/Bradenton, FL",10.619081163516645
14828,"Sitka, AK",10.580911336497353
15370,"Tulsa, OK",10.545483637314684
11109,"Colorado Springs, CO",10.406991683457548
14709,"Deadhorse, AK",10.293752241763105
13467,"Anchorage, AK",10.290699638682264
10158,"Atlantic City, NJ",10.225451650387027
14685,"Savannah, GA",10.146303955664427
11884,"Spokane, WA",10.012994331571278
10800,"Burbank, CA",9.904691588900516
14112,"St. Petersburg, FL",9.56588260362987
14081,"Page, AZ",9.285169946314856
13830,"Kahului, HI",9.214900443760776
11995,"Greensboro/High Point, NC",9.068964265552736
11986,"Grand Rapids, MI",9.061018346593308
14512,"Rockford, IL",8.954183639464096
14321,"Portland, ME",8.674468074266333
11844,"Galena, AK",8.671872191215584
15624,"Valparaiso, FL",8.478236171185426
14193,"Pensacola, FL",8.305846066752634
14307,"Providence, RI",8.28118057857022
11550,"Emmonak, AK",8.248272315480781
15376,"Tucson, AZ",8.220524218012416
15412,"Knoxville, TN",8.21700158458924
10466,"Phoenix, AZ",8.091201967209063
10599,"Birmingham, AL",8.03900843533183
13541,"Martha's Vineyard, MA",8.023596211305788
14689,"Santa Barbara, CA",8.012442221847229
10257,"Albany, NY",7.911158214250449
10917,"Cold Bay, AK",7.904138226618934
11996,"Greer, SC",7.854624984971327
12992,"Little Rock, AR",7.806727350666682
13230,"Harrisburg, PA",7.6864324352650755
13002,"Seattle, WA",7.583300659028001
12807,"St. Mary's, AK",7.442343907851661
11833,"Fort Yukon, AK",7.436106895717346
15096,"Syracuse, NY",7.38219450548128
14477,"Roche Harbor, WA",7.363203919308127
11728,"Westhampton, NY",7.296252978048381
12278,"Wichita, KS",7.252294159749048
10559,"Seattle, WA",7.214341704281157
13196,"McGrath, AK",7.124252668727309
11423,"Des Moines, IA",6.850602049821854
14576,"Rochester, NY",6.834176467753178
12222,"East Hampton, NY",6.823184545211175
10194,"Dallas/Fort Worth, TX",6.587096781063319
12758,"Kona, HI",6.571057378663048
11973,"Gulfport/Biloxi, MS",6.524968082348722
11775,"Sioux Falls, SD",6.293034112841406
13461,"Smyrna, TN",6.256148161479024
12772,"Ouzinkie, AK",6.227668057161514
10868,"Columbia, SC",6.088798183421124
11638,"Fresno, CA",5.978494439520333
12954,"Long Beach, CA",5.973497604823848
12214,"Huslia, AK",5.874697555587085
15581,"Venetie, AK",5.8358681394228675
10349,"Arctic Village, AK",5.777643929586181
16091,"Detroit, MI",5.776712819187554
12853,"Quinhagak, AK",5.7443413890370785
11997,"Gustavus, AK",5.7061687446891005
11484,"Edna Bay, AK",5.680755792813948
12819,"Ketchikan, AK",5.639871863991628
14628,"Rosario, WA",5.630499169744603
10783,"Bettles, AK",5.579454491565072
13055,"Lopez Island, WA",5.537960931827157
13485,"Madison, WI",5.522354991202899
14262,"Palm Springs, CA",5.444576926214972
15091,"Seal Bay, AK",5.436081853112427
11481,"Panama City, FL",5.328544873994061
11555,"Kenai, AK",5.309949239101608
11648,"Kalispell, MT",5.29574620901554
10372,"Aspen, CO",5.274161522062453
